S20902020014 05262978170843240718130244128128          0526297817                                                               
D201202407180032711   0114987035654605²É×½Ê²ºÞ³¹²ÁÖ³Ö³´·        ØÝºÞ187.5MLX2800001000006730000006730000074032503  C2404222     
D201202407180033070   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000897000000897000010102604  H774         
D201202407190033886   0114987896010817¶ÛÅ-Ù¼ÞÖ³200         200MG PTP      100T00001000000596000000596000006702703  4194M        
D201202407190033970   0114987171659304ÒºÊÞ×ÐÝ¼ÞÖ³500UG¢SW£ 500UG PTP     1000T00001000005182000005182000057002612  723Z51       
D201202407190033978   0114987020020248¹ÄºÅ¿Þ-Ù¸Ø-Ñ2%¢²Ü·£         2%    10GX1000001000001327000001327000013802705  46019        
D201202407190034467   0114987312126641ÐÔBM¼ÞÖ³                   PTP      100T00003000000510000001530000005702706  727B6        
D201202407190034467   0214987235012564Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000003000001086000003258000011972605  4F060        
D201202407190034467   0314987286113500»Ý¶Ï¸ÞÈ¼³Ñ¼ÞÖ³330MG¢ 330MG PTP      100T00001000000446000000446000005702705  4I70         
D201202407190034467   0414987173015818±½ÞÉ-Ù³¶Þ²´·4%              4%  5MLX10ÎÝ00001000001183000001183000013452704  03995        
D201202407190034467   0514987476113310Ä×È·»Ñ»Ý¼ÞÖ³250MG¢YD 250MG PTP      100T00001000000918000000918000010102703  Y24D35       
D201202407190034468   0114987086471282Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢  60MG PTP      100T00001000000863000000863000009802611  KY13001      
D201202407190034468   0214987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014716000014716000170402612  24012Y1      
E200000120000102407190502                                                                                                       
