S20902690019 05262978170000250214124501128128          0526297817                                                               
D201202502172050351   0114987376056212ÄºÌ´Û°ÙÆºÁÝ»Ý´½ÃÙ¶Ìß¾Ù200MG 100CP       00002000000681000001362000007502706  FP0601       
D201202502140816480   0314987051183127¸ÞÙÍÞ½Ê²ºÞ³¼ÞÖ³            PTP      100T00001000002575000002575000029002703  CVT2504      
D201202502140816480   0414987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000001000001045000001045000011972612  5A12SL       
D201202502140816480   0514987138800749ÂÑ×007ÊÁÐ¼Þµ³¶ÞÝ           (7) 2.5GX3X1400002000000935000001870000010292801  X46031       
D201202502140816481   0114987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000001015000001015000011402701  84240        
D201202502140816627   0114987901128704±ÑÛ¼ÞËßÝ¼ÞÖ³5MG¢VTRS   5MG PTP      500T00001000004591000004591000050502806  LN2481       
D201202502140816627   0214987901129008´ÚÄØÌßÀÝ¼ÞÖ³20MG¢VTR  20MG PTP       10T00002000001129000002258000013282606  LA1134       
D201202502140816627   0314987080680017¶ÙÍÞ¼ÞÛ-Ù¼ÞÖ³2.5MG¢» 2.5MG PTP      100T00001000000879000000879000010102703  724307       
D201202502140816627   0414987286113500»Ý¶Ï¸ÞÈ¼³Ñ¼ÞÖ³330MG¢ 330MG PTP      100T00002000000446000000892000005702712  4D29         
D201202502140816627   0514987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002394000002394000026882703  489035       
D201202502140816628   0114987080774013Ìß×ÊÞ½ÀÁÝNA¼ÞÖ³10MG¢  10MG PTP      100T00001000001340000001340000015402706  724601       
D201202502140816628   0214987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000002909  PS7K01B-1    
D201202502140816628   0314987081183579ÚÎÞÌÛ·»¼Ý¼ÞÖ³500MG¢D 500MG PTP       50T00001000003053000003053000034952706  BQA0414      
D201202502140816628   0414987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001066000001066000011972710  X1024        
D201202502140816931   0114987233103653ÚÊß-»Ë¶ÁÕ³140MGÍßÝ       140MG       1ÎÝ00007000021430000150010000243022607  1174900      
E200000390000372502141402                                                                                                       
