S20902690019 05262978170000250403110001128128          0526297817                                                               
D201202504034922091   0114987123409261±ÝÌÞÛ·¿°Ù´Ý»Ý´Ý¼ÞÖ³15MGPTPÀ²Ö100T       00003000000534000001602000005902706  H30263       
D201202504034922092   0114987123872058¿ÞÙËßÃÞÑ¼Õ¾·»Ý´Ý¼ÞÖ³10M¢NIPT 100T       00001000001235000001235000013602702  GT0173       
E200000040000022504031100                                                                                                       
S20902690019 05262978170000250403120002128128          0526297817                                                               
D201202504034923697   0114987123873857»ÙÎß¸ÞÚ×°Ä´Ý»Ý´Ý¼ÞÖ³100MG PTP100T       00001000002600000002600000028602708  GY0327       
D201202504030147722   0114987616003167ÄÚ¼-ÊÞÁÕ³ÌÚÂ¸½ÀÂÁ         300U     3MLX200001000003347000003347000036822609  PP5M867      
D201202504030147722   0214987128305216ÏÝ¼ÞÔÛË¶ÁÕ³5MG±Ãµ½         5MG0.5MLX2·ÂÄ00003000006996000020988000076962604  D778295AA    
D201202504030147722   0314987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00002000003036000006072000033402610  PP5N117      
D201202504030147788   0114987051183127¸ÞÙÍÞ½Ê²ºÞ³¼ÞÖ³            PTP      100T00001000002345000002345000025802905  CVX0704      
D201202504030147848   0114987080737414²º»ÍßÝÄ»Ý´ÁÙØÕ³¼ÞÖ³¶     900MG      84Î³00001000003146000003146000034612704  X24471       
D201202504030147848   0214987080103813²Ì´ÝÌßÛ¼ÞÙ¼Õ¾·»Ý´Ý¼Þ  20MG PTP      100T00001000000555000000555000006102704  624403       
D201202504030147848   0314987080012719´¾ÞÛ½Ê²ºÞ³¼ÞÖ³HD¢»Ü²       PTP      100T00001000003427000003427000037702708  124903       
D201202504030147848   0414987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000007464000007464000082102606  Y019051      
D201202504030147848   0514987770529800ÊßÙÓÃÞ²±XR¼ÞÖ³0.2MG  0.2MG PTP      100T00001000005455000005455000060002712  HL5O         
D201202504030147849   0114987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000002911  PS7M02B-1    
D201202504030147849   0214987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001120000001120000012322712  10625        
D201202504030147850   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00002000003036000006072000033402610  PP5N117      
D201202504030147951   0114987080396017±ÛÌßØÉ-Ù¼ÞÖ³100MG¢»Ü 100MG PTP      100T00001000000727000000727000008002705  B24504       
D201202504030147951   0214987116530132´¸ÒÂÄÊ²ºÞ³¼ÞÖ³LD           PTP      100T00001000004291000004291000047202708  P0511        
D201202504030147951   0314987080120018´ÊÞ½ÁÝOD¼ÞÖ³10MG¢»Ü²  10MG PTP      100T00001000001991000001991000021902710  X24X01       
D201202504030147951   0414987081103324´Ì²´ÝÄ¼ÞÖ³3.75MG    3.75MG PTP      100T00001000022618000022618000248802706  TDA0224      
D201202504030147951   0514987413836029½ËßµÙÄÚ½ËßÏÂÄ60·Õ³ÆÕ                1·ÂÄ00001000004867000004867000053542611  305891       
D201202504030147952   0114987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00002000000482000000964000005302810  724906       
D201202504030147952   0214987341103095ÊÞ²±½ËßØÝ¼ÞÖ³100MG   100MG PTP      700T00001000003755000003755000041302712  JPS8206      
D201202504030147952   0314987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000000945000000945000010402703  86740        
E200000440000422504031302                                                                                                       
S20902020014 05262978173055250404050236128128          0526297817                                                               
D201202504040148517   0114987020020248¹ÄºÅ¿Þ-Ù¸Ø-Ñ2%¢²Ü·£         2%    10GX1000001000001423000001423000013302711  4E047        
D201202504040148630   0114987080005414¶ÝÃÞ»ÙÀÝ¼ÞÖ³12MG¢»Ü²  12MG PTP      100T00001000001300000001300000014302710  724X01       
D201202504040148717   0114987047110885ÆÖ³¿¸Ø-Ñ20%¢SUN£           20%  25GX10ÎÝ00001000000867000000867000008252708  2408053      
D201202504040148717   0214987080100119¸´Ý»ÝÀÞ²²ÁÃÂNA¼ÞÖ³50  50MG PTP      100T00001000000564000000564000006202712  724Y24       
D201202504040148717   0314987080344117ÊÞÙËÃÞ²µÊ²ºÞ³¼ÞÖ³EX¢       PTP      100T00001000001891000001891000020802711  524X02       
D201202504040148717   0414987087034868SGÊ²ºÞ³¶ØÕ³                     1GX105Î³00002000000716000001432000007882708  9823         
D201202504040148729   0114987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002202000002202000024222706  489045       
D201202504040148736   0114987080033912Ò·¼ÚÁÝ´Ý»Ý´Ý¶Ìß¾Ù100 100MG PTP    100CAP00001000000964000000964000010602709  124903       
D201202504040148737   0114987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002202000002202000024222706  489045       
D201202504040149579   0114987080033516ÛÌ×¾ÞÌß»Ý´ÁÙ¼ÞÖ³1MG¢   1MG PTP      100T00001000000555000000555000006102710  524903       
D201202504040149579   0214987128006496ÃÞÊß½¼ÞÖ³0.5MG       0.5MG PTP      100T00001000000864000000864000009502706  J611         
D201202504040149579   0314987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000945000000945000010402709  J817         
D201202504040149580   0114987312126641ÐÔBM¼ÞÖ³                   PTP      100T00001000000536000000536000005902802  450C2        
D201202504040149580   0214987901094207Ó»ÌßØÄÞ¸´Ý»Ý´Ý¼ÞÖ³5M   5MG PTP      100T00001000000945000000945000010402708  M037AH9      
D201202504040149580   0314987081100316Û·¿ÆÝÃ-Ìß100MG         10X14CM    7Ï²X1000001000001120000001120000012322711  Y0124        
D201202504040149580   0414987770529800ÊßÙÓÃÞ²±XR¼ÞÖ³0.2MG  0.2MG PTP      100T00001000005455000005455000060002712  HL5O         
D201202504040149580   0514987080303916ØÏÌßÛ½Ä±ÙÌ±ÃÞ¸½¼ÞÖ³5   5UG PTP      100T00001000000900000000900000009902709  224903       
E200000190000172504040502                                                                                                       
